county,precinct,office,district,party,candidate,votes
Johnson,Aubry Twp 0-01,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,37
Johnson,Aubry Twp 0-01,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,3
Johnson,Aubry Twp 0-02,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,246
Johnson,Aubry Twp 0-02,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,44
Johnson,Aubry Twp 0-03,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,153
Johnson,Aubry Twp 0-03,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,20
Johnson,Aubry Twp 0-04,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,312
Johnson,Aubry Twp 0-04,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,48
Johnson,Aubry Twp 0-05,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,8
Johnson,Aubry Twp 0-05,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,0
Johnson,Aubry Twp 0-06,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,19
Johnson,Aubry Twp 0-06,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,4
Johnson,De Soto 0-01,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,303
Johnson,De Soto 0-01,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,53
Johnson,De Soto 0-02,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,228
Johnson,De Soto 0-02,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,50
Johnson,De Soto 0-03,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,266
Johnson,De Soto 0-03,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,36
Johnson,De Soto 0-06,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,43
Johnson,De Soto 0-06,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,2
Johnson,De Soto 0-07,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,0
Johnson,De Soto 0-07,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,0
Johnson,Edgerton 0-01,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,211
Johnson,Edgerton 0-01,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,38
Johnson,Edgerton 0-05,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,0
Johnson,Edgerton 0-05,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,0
Johnson,Edgerton 0-06,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,0
Johnson,Edgerton 0-06,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,0
Johnson,Fairway 1-01,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,244
Johnson,Fairway 1-01,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,12
Johnson,Fairway 1-02,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,157
Johnson,Fairway 1-02,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,8
Johnson,Fairway 2-01,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,174
Johnson,Fairway 2-01,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,11
Johnson,Fairway 2-02,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,160
Johnson,Fairway 2-02,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,13
